Date,Open,High,Low,Close,Volume
2021-06-02,124.29,125.24,124.05,125.06,59278862
2021-06-01,125.08,125.35,123.94,124.28,67637118
2021-05-28,125.57,125.8,124.55,124.61,71311109
2021-05-27,126.44,127.64,125.08,125.28,94625601
2021-05-26,126.955,127.39,126.42,126.85,56575920
2021-05-25,127.82,128.32,126.32,126.9,72009482
2021-05-24,126.01,127.94,125.94,127.1,63092945
2021-05-21,127.82,128.0,125.21,125.43,79295436
2021-05-20,125.23,127.72,125.1,127.31,76857123
2021-05-19,123.16,124.915,122.86,124.69,92611989
2021-05-18,126.56,126.99,124.78,124.85,63342929
2021-05-17,126.82,126.93,125.17,126.27,74244624
2021-05-14,126.25,127.89,125.85,127.45,81917951
2021-05-13,124.58,126.15,124.26,124.97,105861339
2021-05-12,123.4,124.64,122.25,122.77,112172282
2021-05-11,123.5,126.27,122.77,125.91,126142826
2021-05-10,129.41,129.54,126.81,126.85,88071229
2021-05-07,130.85,131.2582,129.475,130.21,78973273
2021-05-06,127.89,129.75,127.13,129.74,78128334
2021-05-05,129.2,130.45,127.97,128.1,84000900
2021-05-04,131.19,131.4899,126.7,127.85,137564718
2021-05-03,132.04,134.07,131.83,132.54,75135100
2021-04-30,131.78,133.56,131.065,131.46,109839466
2021-04-29,136.47,137.07,132.45,133.48,151100953
2021-04-28,134.31,135.02,133.08,133.58,107760097
2021-04-27,135.01,135.41,134.11,134.39,66015804
2021-04-26,134.83,135.06,133.56,134.72,66905069
2021-04-23,132.16,135.12,132.16,134.32,78756779
2021-04-22,133.04,134.15,131.41,131.94,84566456
2021-04-21,132.36,133.75,131.3001,133.5,68847136
2021-04-20,135.02,135.53,131.81,133.11,94812349
2021-04-19,133.51,135.47,133.34,134.84,94264215
2021-04-16,134.3,134.67,133.28,134.16,84922386
2021-04-15,133.82,135.0,133.64,134.5,89347102
2021-04-14,134.94,135.0,131.655,132.03,87222782
2021-04-13,132.44,134.66,131.93,134.43,91266545
2021-04-12,132.52,132.85,130.63,131.24,91419983
2021-04-09,129.8,133.04,129.47,132.995,106686703
2021-04-08,128.95,130.39,128.52,130.36,88844591
2021-04-07,125.83,127.92,125.14,127.9,83466716
2021-04-06,126.5,127.13,125.65,126.21,80171253
2021-04-05,123.87,126.1601,123.07,125.9,88651175
2021-04-01,123.66,124.18,122.49,123.0,75089134
2021-03-31,121.65,123.52,121.15,122.15,118323826
2021-03-30,120.11,120.4031,118.86,119.9,85671919
2021-03-29,121.65,122.58,120.7299,121.39,80819203
2021-03-26,120.35,121.48,118.92,121.21,94071234
2021-03-25,119.54,121.66,119.0,120.59,98844681
2021-03-24,122.82,122.9,120.065,120.09,88530485
2021-03-23,123.33,124.24,122.14,122.54,95467142
2021-03-22,120.33,123.87,120.26,123.39,111912284
2021-03-19,119.9,121.43,119.675,119.99,185549522
2021-03-18,122.88,123.18,120.32,120.53,121469755
2021-03-17,124.05,125.8599,122.336,124.76,111932636
2021-03-16,125.7,127.22,124.715,125.57,115227936
2021-03-15,121.41,124.0,120.42,123.99,92590555
2021-03-12,120.4,121.17,119.16,121.03,88105050
2021-03-11,122.54,123.21,121.26,121.96,103026514
2021-03-10,121.69,122.17,119.45,119.98,111943326
2021-03-09,119.03,122.06,118.79,121.085,129525780
2021-03-08,120.93,121.0,116.21,116.36,154376610
2021-03-05,120.98,121.935,117.57,121.42,153766601
2021-03-04,121.75,123.6,118.62,120.13,178154975
2021-03-03,124.81,125.71,121.84,122.06,112966340
2021-03-02,128.41,128.72,125.01,125.12,102260945
2021-03-01,123.75,127.93,122.79,127.79,116307892
2021-02-26,122.59,124.85,121.2,121.26,164560394
2021-02-25,124.68,126.4585,120.54,120.99,148199540
2021-02-24,124.94,125.56,122.23,125.35,111039904
2021-02-23,123.76,126.71,118.39,125.86,158273022
2021-02-22,128.01,129.72,125.6,126.0,103916419
2021-02-19,130.24,130.71,128.8,129.87,87668834
2021-02-18,129.2,129.995,127.41,129.71,96856748
2021-02-17,131.25,132.22,129.47,130.84,98085249
2021-02-16,135.49,136.01,132.79,133.19,80576316
2021-02-12,134.35,135.53,133.6921,135.37,60145130
2021-02-11,135.9,136.39,133.77,135.13,64280029
2021-02-10,136.48,136.99,134.4,135.39,73046563
2021-02-09,136.62,137.877,135.85,136.01,76774213
2021-02-08,136.03,136.96,134.92,136.91,71297214
2021-02-05,137.35,137.42,135.86,136.76,75693830
2021-02-04,136.1,137.19,134.39,137.18,84308858
2021-02-03,135.56,135.57,133.41,133.74,90015249
2021-02-02,135.53,136.11,134.41,134.79,83429853
2021-02-01,133.55,135.18,130.73,133.94,106398581
2021-01-29,135.63,136.54,130.02,131.76,177789092
2021-01-28,139.31,141.78,136.5,136.89,142834251
2021-01-27,143.22,144.08,140.2,141.85,141054226
2021-01-26,143.39,144.08,141.16,142.95,98537583
2021-01-25,142.86,144.87,136.34,142.71,157847237
2021-01-22,136.08,139.64,134.82,138.86,114630400
2021-01-21,133.6,139.46,133.39,136.67,120709655
2021-01-20,128.47,132.29,128.36,131.83,104475377
2021-01-19,127.59,128.52,126.75,127.64,90892951
2021-01-15,128.59,130.03,126.81,126.95,111765296
2021-01-14,130.6,130.8,128.57,128.72,90356576
2021-01-13,128.57,131.25,128.3,130.69,88769284
2021-01-12,128.31,129.5,126.67,128.61,92088551
2021-01-11,129.0,129.98,128.31,128.79,100771241
2021-01-08,132.23,132.43,130.04,131.85,105315386
2021-01-07,128.17,131.43,127.67,130.72,109741903
2021-01-06,127.53,130.85,126.19,126.41,155319723
2021-01-05,128.7,131.54,128.24,130.81,97810842
2021-01-04,133.32,133.41,126.57,129.22,143516028
2020-12-31,133.88,134.54,131.52,132.49,99264699
2020-12-30,135.34,135.79,133.2,133.52,96596256
2020-12-29,137.84,138.58,134.14,134.67,121228209
2020-12-28,133.79,137.14,133.31,136.49,124672261
2020-12-24,131.12,133.26,130.9,131.77,55012148
2020-12-23,131.96,132.23,130.58,130.76,88355528
2020-12-22,131.41,134.2,129.46,131.68,169604893
2020-12-21,124.83,128.12,123.26,128.04,121432743
2020-12-18,128.77,128.91,125.93,126.47,192829217
2020-12-17,128.71,129.39,127.85,128.51,94500816
2020-12-16,127.22,128.18,126.37,127.62,98355347
2020-12-15,124.15,127.71,123.94,127.69,157807727
2020-12-14,122.42,123.17,121.36,121.6,79194154
2020-12-11,122.25,122.58,120.37,122.23,87069703
2020-12-10,120.32,123.69,119.97,123.06,81433347
2020-12-09,124.34,125.76,120.82,121.6,115048091
2020-12-08,124.18,124.79,122.91,124.19,82131277
2020-12-07,122.13,124.38,122.07,123.57,86747498
2020-12-04,122.42,122.68,121.34,122.07,78377368
2020-12-03,123.34,123.6,122.03,122.76,79085634
2020-12-02,121.84,123.19,120.71,122.9,89137197
2020-12-01,120.83,123.29,119.83,122.54,128358327
2020-11-30,116.8,120.79,116.64,118.87,169663331
2020-11-27,116.4,117.31,116.05,116.42,46761103
2020-11-25,115.37,116.58,115.0,115.86,76613549
2020-11-24,113.74,115.68,112.42,115.0,114044384
2020-11-23,117.01,117.44,113.58,113.68,128150532
2020-11-20,118.47,118.59,117.11,117.16,73714276
2020-11-19,117.41,118.88,116.64,118.46,74223721
2020-11-18,118.43,119.64,117.82,117.85,76436162
2020-11-17,119.37,120.49,118.78,119.21,74381959
2020-11-16,118.74,120.81,117.97,120.12,91319276
2020-11-13,119.26,119.49,117.69,119.08,81810656
2020-11-12,119.44,120.35,118.39,119.03,103505114
2020-11-11,117.02,119.45,116.27,119.31,112462760
2020-11-10,115.38,117.41,113.96,115.8,138229643
2020-11-09,120.32,121.81,115.88,116.15,154746212
2020-11-06,118.14,119.02,115.96,118.51,114628960
2020-11-05,117.57,119.23,116.5,118.64,126794310
2020-11-04,113.77,115.22,111.99,114.58,138680895
2020-11-03,109.31,111.13,108.38,110.09,107971229
2020-11-02,108.76,110.33,106.98,108.42,123262793
2020-10-30,110.7,111.63,107.37,108.51,191187529
2020-10-29,112.01,116.56,111.84,114.95,146600021
2020-10-28,114.68,115.06,110.74,110.84,144401610
2020-10-27,115.12,116.91,114.17,116.23,92574100
2020-10-26,113.64,116.18,112.52,114.68,112211055
2020-10-23,116.02,116.18,113.91,114.67,82838705
2020-10-22,117.08,117.66,114.22,115.38,102316573
2020-10-21,116.3,118.32,116.08,116.5,90235798
2020-10-20,115.83,118.6,115.26,117.13,124824638
2020-10-19,119.57,120.03,115.29,115.61,121028053
2020-10-16,120.89,121.16,118.43,118.64,115765622
2020-10-15,118.34,120.81,117.77,120.32,112921900
2020-10-14,120.61,122.64,119.23,120.8,151549052
2020-10-13,124.86,124.98,119.26,120.71,263175715
2020-10-12,119.67,124.77,118.9,124.0,241000813
2020-10-09,114.91,116.63,114.55,116.6,100830712
2020-10-08,115.88,116.03,114.22,114.6,83746128
2020-10-07,114.25,115.18,113.76,114.71,97161045
2020-10-06,115.33,115.75,111.89,112.8,162018581
2020-10-05,113.54,116.28,113.18,116.13,106586172
2020-10-02,112.53,115.0,111.86,112.66,145178268
2020-10-01,117.26,117.34,115.46,116.42,116494596
2020-09-30,113.42,116.89,113.25,115.44,143134903
2020-09-29,114.18,114.94,113.2,113.72,100382935
2020-09-28,114.64,114.95,112.42,114.59,138116002
2020-09-25,108.08,112.08,107.32,111.92,150464702
2020-09-24,104.83,109.9,104.66,107.87,168283841
2020-09-23,111.26,111.75,106.43,106.78,151204307
2020-09-22,112.32,112.5,108.81,111.45,183645203
2020-09-21,104.2,109.84,102.77,109.73,196344432
2020-09-18,110.05,110.52,105.75,106.5,288029973
2020-09-17,109.37,111.84,108.36,109.99,178584543
2020-09-16,114.86,115.63,111.68,111.77,155526192
2020-09-15,117.95,118.44,113.24,115.17,185236981
2020-09-14,114.35,115.56,112.44,114.99,140601670
2020-09-11,114.2,114.86,109.65,111.64,181443082
2020-09-10,119.97,120.11,112.14,113.12,182861704
2020-09-09,116.89,118.75,114.89,116.95,177510581
2020-09-08,113.58,118.61,112.32,112.46,232112058
2020-09-04,119.68,123.31,110.53,120.57,333678869
2020-09-03,126.5,128.43,120.11,120.49,258429662
2020-09-02,137.15,137.53,126.59,130.97,200763802
2020-09-01,132.33,134.37,130.12,133.75,152961421
2020-08-31,127.17,130.57,125.59,128.63,226429933
2020-08-28,125.6,126.03,124.18,124.41,188234485
2020-08-27,126.73,127.07,123.44,124.6,156053595
2020-08-26,125.77,126.58,124.67,126.11,163547548
2020-08-25,124.3,124.77,122.66,124.42,212177256
2020-08-24,128.29,128.37,123.55,125.45,347052427
2020-08-21,118.87,124.46,118.86,123.97,339143899
2020-08-20,115.38,118.01,115.36,117.9,127316101
2020-08-19,115.61,116.79,115.24,115.34,146006951
2020-08-18,113.98,115.63,113.64,115.19,105973906
2020-08-17,115.69,115.72,113.59,114.24,119946688
2020-08-14,114.46,114.63,112.68,114.54,166098681
2020-08-13,114.06,115.67,113.56,114.64,210758977
2020-08-12,110.15,112.91,109.95,112.65,166479517
2020-08-11,111.61,112.12,108.76,109.03,188507823
2020-08-10,112.24,113.41,109.65,112.37,213087817
2020-08-07,112.84,113.31,109.94,110.75,198683742
2020-08-06,109.86,113.84,109.25,113.33,203447313
2020-08-05,108.83,109.85,108.35,109.51,122605691
2020-08-04,108.59,110.24,107.84,109.12,173661680
2020-08-03,107.65,111.08,107.35,108.39,309701692
2020-07-31,102.37,105.88,100.32,105.73,376178538
2020-07-30,93.716,95.816,93.298,95.71,158925567
2020-07-29,93.282,94.752,93.245,94.566,90783702
2020-07-28,93.896,94.076,92.781,92.786,104146838
2020-07-27,93.242,94.431,93.012,94.336,121824017
2020-07-24,90.531,92.504,88.699,92.151,186371803
2020-07-23,96.514,96.591,91.55,92.38,197995556
2020-07-22,96.208,97.484,96.118,96.786,89449417
2020-07-21,98.678,98.753,96.258,96.514,104167275
2020-07-20,95.933,98.007,95.582,97.865,90772294
2020-07-17,96.501,96.661,95.36,95.846,92650690
2020-07-16,96.078,96.918,95.424,96.04,111133986
2020-07-15,98.495,98.751,96.009,97.237,153968667
